"","Series","Date","Value"
"365","South African bank notes and subsidiary coin",2022-09-01,27674232
"366","South African bank notes and subsidiary coin",2022-10-01,29100181
"367","South African bank notes and subsidiary coin",2022-11-01,32106809
"368","South African bank notes and subsidiary coin",2022-12-01,37142146
"369","South African bank notes and subsidiary coin",2023-01-01,29380739
"370","South African bank notes and subsidiary coin",2023-02-01,31751599
"371","South African bank notes and subsidiary coin",2023-03-01,33214294
"372","South African bank notes and subsidiary coin",2023-04-01,29061759
"373","South African bank notes and subsidiary coin",2023-05-01,29532797
"374","South African bank notes and subsidiary coin",2023-06-01,29049599
"375","South African bank notes and subsidiary coin",2023-07-01,27936332
"376","South African bank notes and subsidiary coin",2023-08-01,28648952
