"","Series","Date","Value"
"377","Gold coin and bullion",2008-01-01,1053414
"378","Gold coin and bullion",2008-02-01,40297
"379","Gold coin and bullion",2008-03-01,41191
"380","Gold coin and bullion",2008-04-01,616
"381","Gold coin and bullion",2008-05-01,497
"382","Gold coin and bullion",2008-06-01,1091
"383","Gold coin and bullion",2008-07-01,1173
"384","Gold coin and bullion",2008-08-01,65052
"385","Gold coin and bullion",2008-09-01,1076
"386","Gold coin and bullion",2008-10-01,891
"387","Gold coin and bullion",2008-11-01,770
"388","Gold coin and bullion",2008-12-01,7070
"389","Gold coin and bullion",2009-01-01,13488
"390","Gold coin and bullion",2009-02-01,21700
"391","Gold coin and bullion",2009-03-01,99634
"392","Gold coin and bullion",2009-04-01,29902
"393","Gold coin and bullion",2009-05-01,112609
"394","Gold coin and bullion",2009-06-01,115307
"395","Gold coin and bullion",2009-07-01,937722
"396","Gold coin and bullion",2009-08-01,803629
"397","Gold coin and bullion",2009-09-01,835566
"398","Gold coin and bullion",2009-10-01,523
"399","Gold coin and bullion",2009-11-01,563
"400","Gold coin and bullion",2009-12-01,529
"401","Gold coin and bullion",2010-01-01,476
"402","Gold coin and bullion",2010-02-01,225
"403","Gold coin and bullion",2010-03-01,234
"404","Gold coin and bullion",2010-04-01,232
"405","Gold coin and bullion",2010-05-01,424
"406","Gold coin and bullion",2010-06-01,439
"407","Gold coin and bullion",2010-07-01,438
"408","Gold coin and bullion",2010-08-01,445
"409","Gold coin and bullion",2010-09-01,430
"410","Gold coin and bullion",2010-10-01,444
"411","Gold coin and bullion",2010-11-01,379
"412","Gold coin and bullion",2010-12-01,70
"413","Gold coin and bullion",2011-01-01,78
"414","Gold coin and bullion",2011-02-01,73
"415","Gold coin and bullion",2011-03-01,71
"416","Gold coin and bullion",2011-04-01,74
"417","Gold coin and bullion",2011-05-01,83
"418","Gold coin and bullion",2011-06-01,65
"419","Gold coin and bullion",2011-07-01,81
"420","Gold coin and bullion",2011-08-01,74
"421","Gold coin and bullion",2011-09-01,91
"422","Gold coin and bullion",2011-10-01,109
"423","Gold coin and bullion",2011-11-01,93
"424","Gold coin and bullion",2011-12-01,83
"425","Gold coin and bullion",2012-01-01,83
"426","Gold coin and bullion",2012-02-01,81
"427","Gold coin and bullion",2012-03-01,74
"428","Gold coin and bullion",2012-04-01,74
"429","Gold coin and bullion",2012-05-01,74
"430","Gold coin and bullion",2012-06-01,64
"431","Gold coin and bullion",2012-07-01,64
"432","Gold coin and bullion",2012-08-01,64
"433","Gold coin and bullion",2012-09-01,64
"434","Gold coin and bullion",2012-10-01,64
"435","Gold coin and bullion",2012-11-01,64
"436","Gold coin and bullion",2012-12-01,64
"437","Gold coin and bullion",2013-01-01,56
"438","Gold coin and bullion",2013-02-01,56
"439","Gold coin and bullion",2013-03-01,56
"440","Gold coin and bullion",2013-04-01,58
"441","Gold coin and bullion",2013-05-01,56
"442","Gold coin and bullion",2013-06-01,56
"443","Gold coin and bullion",2013-07-01,56
"444","Gold coin and bullion",2013-08-01,56
"445","Gold coin and bullion",2013-09-01,56
"446","Gold coin and bullion",2013-10-01,56
"447","Gold coin and bullion",2013-11-01,60
"448","Gold coin and bullion",2013-12-01,683
"449","Gold coin and bullion",2014-01-01,683
"450","Gold coin and bullion",2014-02-01,630
"451","Gold coin and bullion",2014-03-01,630
"452","Gold coin and bullion",2014-04-01,533
"453","Gold coin and bullion",2014-05-01,524
"454","Gold coin and bullion",2014-06-01,513
"455","Gold coin and bullion",2014-07-01,595
"456","Gold coin and bullion",2014-08-01,589
"457","Gold coin and bullion",2014-09-01,589
"458","Gold coin and bullion",2014-10-01,665
"459","Gold coin and bullion",2014-11-01,665
"460","Gold coin and bullion",2014-12-01,665
"461","Gold coin and bullion",2015-01-01,665
"462","Gold coin and bullion",2015-02-01,665
"463","Gold coin and bullion",2015-03-01,665
"464","Gold coin and bullion",2015-04-01,665
"465","Gold coin and bullion",2015-05-01,665
"466","Gold coin and bullion",2015-06-01,584
"467","Gold coin and bullion",2015-07-01,568
"468","Gold coin and bullion",2015-08-01,530
"469","Gold coin and bullion",2015-09-01,444
"470","Gold coin and bullion",2015-10-01,688
"471","Gold coin and bullion",2015-11-01,676
"472","Gold coin and bullion",2015-12-01,823
"473","Gold coin and bullion",2016-01-01,11382748
"474","Gold coin and bullion",2016-02-01,11684909
"475","Gold coin and bullion",2016-03-01,9939397
"476","Gold coin and bullion",2016-04-01,8864857
"477","Gold coin and bullion",2016-05-01,9225322
"478","Gold coin and bullion",2016-06-01,10996889
"479","Gold coin and bullion",2016-07-01,10786757
"480","Gold coin and bullion",2016-08-01,11551255
"481","Gold coin and bullion",2016-09-01,9401833
"482","Gold coin and bullion",2016-10-01,8849536
"483","Gold coin and bullion",2016-11-01,7956819
"484","Gold coin and bullion",2016-12-01,8534056
"485","Gold coin and bullion",2017-01-01,8654632
"486","Gold coin and bullion",2017-02-01,9484183
"487","Gold coin and bullion",2017-03-01,8630601
"488","Gold coin and bullion",2017-04-01,9767523
"489","Gold coin and bullion",2017-05-01,9717292
"490","Gold coin and bullion",2017-06-01,11223239
"491","Gold coin and bullion",2017-07-01,9683109
"492","Gold coin and bullion",2017-08-01,11307472
"493","Gold coin and bullion",2017-09-01,11796070
"494","Gold coin and bullion",2017-10-01,13385349
"495","Gold coin and bullion",2017-11-01,12677306
"496","Gold coin and bullion",2017-12-01,12701349
"497","Gold coin and bullion",2018-01-01,11668127
"498","Gold coin and bullion",2018-02-01,10476265
"499","Gold coin and bullion",2018-03-01,9865505
"500","Gold coin and bullion",2018-04-01,9586480
"501","Gold coin and bullion",2018-05-01,11129942
"502","Gold coin and bullion",2018-06-01,10343594
"503","Gold coin and bullion",2018-07-01,9227961
"504","Gold coin and bullion",2018-08-01,11375326
"505","Gold coin and bullion",2018-09-01,11512647
"506","Gold coin and bullion",2018-10-01,12543639
"507","Gold coin and bullion",2018-11-01,9350761
"508","Gold coin and bullion",2018-12-01,12860139
"509","Gold coin and bullion",2019-01-01,12062041
"510","Gold coin and bullion",2019-02-01,11316496
"511","Gold coin and bullion",2019-03-01,13156815
"512","Gold coin and bullion",2019-04-01,14338937
"513","Gold coin and bullion",2019-05-01,17736423
"514","Gold coin and bullion",2019-06-01,21371437
"515","Gold coin and bullion",2019-07-01,21511603
"516","Gold coin and bullion",2019-08-01,22014127
"517","Gold coin and bullion",2019-09-01,21891619
"518","Gold coin and bullion",2019-10-01,21359754
"519","Gold coin and bullion",2019-11-01,19464384
"520","Gold coin and bullion",2019-12-01,21730776
"521","Gold coin and bullion",2020-01-01,19409119
"522","Gold coin and bullion",2020-02-01,22515912
"523","Gold coin and bullion",2020-03-01,28506251
"524","Gold coin and bullion",2020-04-01,29216825
"525","Gold coin and bullion",2020-05-01,23207199
"526","Gold coin and bullion",2020-06-01,20265116
"527","Gold coin and bullion",2020-07-01,19692827
"528","Gold coin and bullion",2020-08-01,22184495
"529","Gold coin and bullion",2020-09-01,19934344
"530","Gold coin and bullion",2020-10-01,18327316
"531","Gold coin and bullion",2020-11-01,16670674
"532","Gold coin and bullion",2020-12-01,18753879
"533","Gold coin and bullion",2021-01-01,17487382
"534","Gold coin and bullion",2021-02-01,14782790
"535","Gold coin and bullion",2021-03-01,15909020
"536","Gold coin and bullion",2021-04-01,17468322
"537","Gold coin and bullion",2021-05-01,17331082
"538","Gold coin and bullion",2021-06-01,13889188
"539","Gold coin and bullion",2021-07-01,14878175
"540","Gold coin and bullion",2021-08-01,16267802
"541","Gold coin and bullion",2021-09-01,15242082
"542","Gold coin and bullion",2021-10-01,17616652
"543","Gold coin and bullion",2021-11-01,19924690
"544","Gold coin and bullion",2021-12-01,20446147
"545","Gold coin and bullion",2022-01-01,14492772
"546","Gold coin and bullion",2022-02-01,19480578
"547","Gold coin and bullion",2022-03-01,17931989
"548","Gold coin and bullion",2022-04-01,18745928
"549","Gold coin and bullion",2022-05-01,19373450
"550","Gold coin and bullion",2022-06-01,15750608
"551","Gold coin and bullion",2022-07-01,12935032
"552","Gold coin and bullion",2022-08-01,15590268
"553","Gold coin and bullion",2022-09-01,16918449
"554","Gold coin and bullion",2022-10-01,15800225
"555","Gold coin and bullion",2022-11-01,17059478
"556","Gold coin and bullion",2022-12-01,17535597
"557","Gold coin and bullion",2023-01-01,17466443
"558","Gold coin and bullion",2023-02-01,15415720
"559","Gold coin and bullion",2023-03-01,11667776
"560","Gold coin and bullion",2023-04-01,11831969
"561","Gold coin and bullion",2023-05-01,16228767
"562","Gold coin and bullion",2023-06-01,16903740
"563","Gold coin and bullion",2023-07-01,16267653
"564","Gold coin and bullion",2023-08-01,15373774
"565","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2008-01-01,43770463
"566","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2008-02-01,46298320
"567","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2008-03-01,48798991
"568","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2008-04-01,44990601
"569","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2008-05-01,46849731
"570","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2008-06-01,47861582
"571","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2008-07-01,48001776
"572","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2008-08-01,49884072
"573","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2008-09-01,51747648
"574","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2008-10-01,49914422
"575","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2008-11-01,50792027
"576","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2008-12-01,50535386
"577","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2009-01-01,49865262
"578","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2009-02-01,48323815
"579","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2009-03-01,50511719
"580","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2009-04-01,51002626
"581","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2009-05-01,49617189
"582","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2009-06-01,52672370
"583","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2009-07-01,49623401
"584","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2009-08-01,51823976
"585","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2009-09-01,52282328
"586","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2009-10-01,49681879
"587","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2009-11-01,51465329
"588","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2009-12-01,48852079
"589","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2010-01-01,52899199
"590","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2010-02-01,54182812
"591","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2010-03-01,57237610
"592","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2010-04-01,54340720
"593","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2010-05-01,55609246
"594","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2010-06-01,55981813
"595","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2010-07-01,58492802
"596","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2010-08-01,56658644
"597","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2010-09-01,57517507
"598","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2010-10-01,55411653
"599","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2010-11-01,56894753
"600","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2010-12-01,56228463
"601","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2011-01-01,53012827
"602","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2011-02-01,55557068
"603","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2011-03-01,60313910
"604","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2011-04-01,58647983
"605","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2011-05-01,57819022
"606","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2011-06-01,61435086
"607","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2011-07-01,60103121
"608","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2011-08-01,63761938
"609","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2011-09-01,63633741
"610","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2011-10-01,60356509
"611","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2011-11-01,61702727
"612","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2011-12-01,61619616
"613","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2012-01-01,61920053
"614","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2012-02-01,68433776
"615","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2012-03-01,65521702
"616","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2012-04-01,63147937
"617","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2012-05-01,64572727
"618","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2012-06-01,66851110
"619","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2012-07-01,61842245
"620","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2012-08-01,65815624
"621","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2012-09-01,68430803
"622","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2012-10-01,67347601
"623","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2012-11-01,68815526
"624","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2012-12-01,65606150
"625","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2013-01-01,69380530
"626","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2013-02-01,75613465
"627","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2013-03-01,72313093
"628","Domestic currency deposits with SA Reserve Bank (total of items 107 to 109)",2013-04-01,72140379
